,Number of Songs,Artist Name,Artist Location,Duration,Title,Release,Year,Danceability,Energy,Mode,Tempo,Loudness,Hotness
0,1,Casual,California - LA,218.93179,I Didn't Mean To,Fear Itself,0,0.0,0.0,0,92.198,-11.197,0.6021199899057548
1,1,The Box Tops,"Memphis, TN",148.03546,Soul Deep,Dimensions,1969,0.0,0.0,0,121.274,-9.843,
2,1,Sonora Santanera,,177.47546,Amor De Cabaret,Las Numero 1 De La Sonora Santanera,0,0.0,0.0,1,100.07,-9.689,
3,1,Adam Ant,"London, England",233.40363,Something Girls,Friend Or Foe,1982,0.0,0.0,1,119.293,-9.013,
4,1,Gob,,209.60608,Face the Ashes,Muertos Vivos,2007,0.0,0.0,1,129.738,-4.501,0.6045007385888197
5,1,Jeff And Sheri Easter,,267.7024,The Moon And I (Ordinary Day Album Version),Ordinary Day,0,0.0,0.0,1,147.782,-9.323,
6,1,Rated R,Ohio,114.78159,Keepin It Real (Skit),Da Ghetto Psychic,0,0.0,0.0,1,111.787,-17.302,
7,1,Tweeterfriendly Music,"Burlington, Ontario, Canada",189.57016,Drop of Rain,Gin & Phonic,0,0.0,0.0,0,101.43,-11.642,
8,1,Planet P Project,,269.81832,Pink World,Pink World,1984,0.0,0.0,1,86.643,-13.496,0.26586104921065007
9,1,Clp,,266.39628,Insatiable (Instrumental Version),Superinstrumental,0,0.0,0.0,0,114.041,-6.697,
10,1,JennyAnyKind,North Carolina,218.77506,Young Boy Blues,I Need You,0,0.0,0.0,0,146.765,-10.021,0.0
11,1,Wayne Watson,"Wisner, LA",245.21098,The Urgency (LP Version),The Way Home,0,0.0,0.0,1,117.975,-7.545,0.26586104921065007
12,1,Andy Andy,,226.35057,La Culpa,Placer & Castigo,0,0.0,0.0,1,130.04,-6.632,0.0
13,1,Bob Azzam,,191.84281,Auguri Cha Cha,Arrivederci,0,0.0,0.0,0,137.334,-7.75,0.0
14,1,Lionel Richie,"Beverly Hills, CA",307.3824,Tonight Will Be Alright,Dancing On The Ceiling,1986,0.0,0.0,1,125.197,-8.346,
15,1,Blue Rodeo,"Toronto, Ontario, Canada",491.12771,Floating,Outskirts,1987,0.0,0.0,1,119.826,-8.576,0.4051157216913865
16,1,Richard Souther,United States,228.5971,High Tide,Cross Currents,0,0.0,0.0,1,127.756,-16.11,0.3347065490692206
17,1,Faiz Ali Faiz,,599.24853,Sohna Nee Sohna Data,Panjtan Ka Ghulam,0,0.0,0.0,1,99.273,-8.032,
18,1,Tesla,,290.29832,Caught In A Dream,Gold,2004,0.0,0.0,1,150.062,-5.271,0.6841361912294903
19,1,lextrical,,165.69424,Synthetic Dream,Whatever Happened To Boredom?,0,0.0,0.0,1,138.331,-6.787,0.0
20,1,Jimmy Wakely,"Mineola, AR",151.84934,Broken-Down Merry-Go-Round,1942-1952 Jimmy Wakely,0,0.0,0.0,1,86.186,-15.221,
21,1,Alice Stuart,Washington,220.78649,Kassie Jones,All The Good Times,0,0.0,0.0,1,110.382,-8.514,0.0
22,1,Elena,Dubai UAE,269.58322,Setanta matins,Un cafe_ setanta matins,0,0.0,0.0,1,111.874,-8.05,0.3135621142479342
